timestamp,value
2025-11-21 21:18:00.394895,70.8
2025-11-21 21:18:05.865974,71.4
2025-11-21 21:18:10.480314,70.9
2025-11-21 21:18:15.205199,70.2
2025-11-21 21:18:20.609101,71.0
2025-11-21 21:18:25.268284,70.7
2025-11-21 21:18:30.855772,71.8
2025-11-21 21:18:35.549563,70.3
2025-11-21 21:18:40.946560,70.8
2025-11-21 21:18:45.310379,72.0
2025-11-21 21:18:50.999599,70.6
2025-11-21 21:18:55.843427,70.5
2025-11-21 21:19:00.473975,70.9
2025-11-21 21:19:05.577484,71.2
2025-11-21 21:19:10.552078,71.6
2025-11-21 21:19:15.908679,70.8
2025-11-21 21:19:20.228431,71.9
2025-11-21 21:19:25.694651,71.0
2025-11-21 21:19:30.805561,70.7
2025-11-21 21:19:35.756498,70.3
2025-11-21 21:19:40.002783,70.3
2025-11-21 21:19:45.530433,71.6
2025-11-21 21:19:50.271439,70.7
2025-11-21 21:19:55.987064,71.9
2025-11-21 21:20:00.959930,71.3
2025-11-21 21:20:05.343449,70.2
2025-11-21 21:20:10.162364,70.3
2025-11-21 21:20:15.965112,70.8
2025-11-21 21:20:20.464051,71.8
2025-11-21 21:20:25.333146,71.0
2025-11-21 21:20:30.265831,71.9
2025-11-21 21:20:35.088978,71.7
2025-11-21 21:20:40.165389,70.5
2025-11-21 21:20:45.755717,70.3
2025-11-21 21:20:50.321315,70.7
2025-11-21 21:20:55.565030,71.3
2025-11-21 21:21:00.261259,71.3
2025-11-21 21:21:05.785614,70.2
2025-11-21 21:21:10.987837,70.7
2025-11-21 21:21:15.196912,71.9
2025-11-21 21:21:20.083213,71.9
2025-11-21 21:21:25.308485,70.1
2025-11-21 21:21:30.815354,70.4
2025-11-21 21:21:35.055230,70.5
2025-11-21 21:21:40.404359,70.4
2025-11-21 21:21:45.876753,71.0
2025-11-21 21:21:50.312982,70.6
2025-11-21 21:21:55.105698,71.4
2025-11-21 21:22:00.662361,70.6
2025-11-21 21:22:05.188740,70.3
2025-11-21 21:22:10.325192,70.9
2025-11-21 21:22:15.315303,71.3
2025-11-21 21:22:20.936196,71.4
2025-11-21 21:22:25.805006,70.4
2025-11-21 21:22:30.166864,71.0
2025-11-21 21:22:35.666660,71.5
2025-11-21 21:22:40.560050,70.5
2025-11-21 21:22:45.977208,71.5
2025-11-21 21:22:50.349919,70.3
2025-11-21 21:22:55.609703,71.4
2025-11-21 21:23:00.173784,71.5
2025-11-21 21:23:05.927991,70.3
2025-11-21 21:23:10.884915,70.3
2025-11-21 21:23:15.513503,70.1
2025-11-21 21:23:20.099485,70.4
2025-11-21 21:23:25.573516,70.7
2025-11-21 21:23:30.662198,71.8
2025-11-21 21:23:35.310839,70.3
2025-11-21 21:23:40.401738,71.9
2025-11-21 21:23:45.011808,70.5
2025-11-21 21:23:50.109235,70.1
2025-11-21 21:23:55.619061,70.4
2025-11-21 21:24:00.512020,71.0
2025-11-21 21:24:05.952128,70.7
2025-11-21 21:24:10.514972,71.0
2025-11-21 21:24:15.863541,70.4
2025-11-21 21:24:20.801573,71.0
2025-11-21 21:24:25.651749,70.8
2025-11-21 21:24:30.255256,71.5
2025-11-21 21:24:35.468861,71.0
2025-11-21 21:24:40.665237,72.0
2025-11-21 21:24:45.663455,70.4
2025-11-21 21:24:50.701174,71.9
2025-11-21 21:24:55.582468,70.3
2025-11-21 21:25:00.704972,72.0
2025-11-21 21:25:05.236384,71.9
2025-11-21 21:25:10.262382,70.8
2025-11-21 21:25:15.607035,70.3
2025-11-21 21:25:20.857211,70.9
2025-11-21 21:25:25.873863,71.7
2025-11-21 21:25:30.301193,70.5
2025-11-21 21:25:35.899125,71.4
2025-11-21 21:25:40.387521,71.1
2025-11-21 21:25:45.526815,70.4
2025-11-21 21:25:50.941755,71.8
2025-11-21 21:25:55.996382,71.0
2025-11-21 21:26:00.001729,72.0
2025-11-21 21:26:05.715597,71.0
2025-11-21 21:26:10.991743,70.5
2025-11-21 21:26:15.605565,71.8
