timestamp,value
2025-11-21 21:18:07.035476,22.6
2025-11-21 21:18:12.162476,22.6
2025-11-21 21:18:17.371979,22.6
2025-11-21 21:18:22.499645,22.6
2025-11-21 21:18:27.677518,22.6
2025-11-21 21:18:31.842855,22.6
2025-11-21 21:18:36.904041,22.6
2025-11-21 21:18:42.106556,22.6
2025-11-21 21:18:47.306041,22.5
2025-11-21 21:18:52.410144,22.6
2025-11-21 21:18:57.540336,22.6
2025-11-21 21:19:02.711289,22.6
2025-11-21 21:19:07.838478,22.6
2025-11-21 21:19:12.942630,22.6
2025-11-21 21:19:18.090872,22.6
2025-11-21 21:19:22.186527,22.6
2025-11-21 21:19:28.435018,22.6
2025-11-21 21:19:32.538035,22.6
2025-11-21 21:19:37.643117,22.6
2025-11-21 21:19:42.754975,22.6
2025-11-21 21:19:47.973891,22.6
2025-11-21 21:19:53.060397,22.6
2025-11-21 21:19:58.318359,22.6
2025-11-21 21:20:02.467638,22.6
2025-11-21 21:20:08.476417,22.6
2025-11-21 21:20:12.634619,22.6
2025-11-21 21:20:17.755200,22.6
2025-11-21 21:20:22.889724,22.6
2025-11-21 21:20:28.069336,22.6
2025-11-21 21:20:33.161563,22.6
2025-11-21 21:20:38.246156,22.6
2025-11-21 21:20:43.384034,22.6
2025-11-21 21:20:48.507229,22.6
2025-11-21 21:20:53.679945,22.6
2025-11-21 21:20:58.737504,22.6
2025-11-21 21:21:03.774467,22.6
2025-11-21 21:21:08.756592,22.6
2025-11-21 21:21:13.842288,22.6
2025-11-21 21:21:18.903753,22.6
2025-11-21 21:21:23.951877,22.6
2025-11-21 21:21:28.985704,22.6
2025-11-21 21:21:33.091566,22.6
2025-11-21 21:21:38.184543,22.6
2025-11-21 21:21:44.302429,22.5
2025-11-21 21:21:49.390003,22.6
2025-11-21 21:21:53.489576,22.5
2025-11-21 21:21:58.611446,22.5
2025-11-21 21:22:03.691307,22.6
2025-11-21 21:22:08.836374,22.6
2025-11-21 21:22:13.980517,22.6
2025-11-21 21:22:19.115652,22.6
2025-11-21 21:22:24.209326,22.5
2025-11-21 21:22:29.394709,22.5
2025-11-21 21:22:33.510323,22.5
2025-11-21 21:22:38.684789,22.5
2025-11-21 21:22:44.875094,22.5
2025-11-21 21:22:49.017178,22.6
2025-11-21 21:22:54.262847,22.5
2025-11-21 21:22:59.341826,22.5
2025-11-21 21:23:04.504192,22.5
2025-11-21 21:23:09.673300,22.5
2025-11-21 21:23:13.854616,22.6
2025-11-21 21:23:18.989047,22.5
2025-11-21 21:23:24.091115,22.5
2025-11-21 21:23:29.316001,22.6
2025-11-21 21:23:34.332471,22.5
2025-11-21 21:23:39.483580,22.6
2025-11-21 21:23:45.664710,22.6
2025-11-21 21:23:49.821149,22.5
2025-11-21 21:23:54.945518,22.6
2025-11-21 21:23:59.115057,22.6
2025-11-21 21:24:04.261682,22.6
2025-11-21 21:24:09.434953,22.6
2025-11-21 21:24:14.604287,22.6
2025-11-21 21:24:19.726123,22.6
2025-11-21 21:24:24.851232,22.6
2025-11-21 21:24:30.005188,22.6
2025-11-21 21:24:35.118889,22.6
2025-11-21 21:24:40.239932,22.6
2025-11-21 21:24:45.352558,22.6
2025-11-21 21:24:50.508365,22.6
2025-11-21 21:24:54.571830,22.5
2025-11-21 21:24:59.752860,22.6
2025-11-21 21:25:04.916407,22.6
2025-11-21 21:25:10.396962,22.6
2025-11-21 21:25:15.472053,22.5
2025-11-21 21:25:20.469213,22.5
2025-11-21 21:25:25.517985,22.5
2025-11-21 21:25:30.566319,22.5
2025-11-21 21:25:35.625055,22.5
2025-11-21 21:25:39.773819,22.5
2025-11-21 21:25:44.870855,22.5
2025-11-21 21:25:50.944686,22.5
2025-11-21 21:25:55.003016,22.5
2025-11-21 21:26:00.045136,22.5
2025-11-21 21:26:05.133242,22.5
2025-11-21 21:26:10.290332,22.5
2025-11-21 21:26:15.299659,22.5
2025-11-21 21:26:20.752809,22.5
2025-11-21 21:26:45.965331,22.5
